Brand,Rating,Processor,Display,OS,RAMSize,RAMType,Storage_HDD,Storage_SSD,MRP
Lenovo,4.2,Intel Core i3 Processor,35.56,Windows,8,DDR4 ,0,256,36990.0
Lenovo,4.2,Intel Core i3 Processor,39.62,Windows,8,DDR4 ,0,512,39990.0
ASUS,4.3,Intel Core i3 Processor,39.62,Windows,8,DDR4 ,0,512,32990.0
HP,4.4,AMD Ryzen 5 Hexa Core Processor,39.62,Windows,8,DDR4 ,0,512,49990.0
ASUS,4.4,Intel Core i5 Processor,39.62,Windows,8,DDR4 ,0,512,49990.0
HP,4.2,Intel Core i3 Processor,35.56,Windows,8,DDR4 ,0,256,36990.0
DELL,4.3,Intel OptaneIntel Core i3 Processor,39.62,Windows,8,DDR4 ,1000,256,38990.0
RedmiBook,4.1,Intel Core i5 Processor,39.62,Windows,8,DDR4 ,0,512,39990.0
realme,4.4,Intel Core i3 Processor,35.56,Windows,8,DDR4 ,0,256,46990.0
ASUS,4.1,AMD Ryzen 7 Quad Core Processor,35.56,Windows,16,DDR4 ,0,512,44990.0
HP,4.4,AMD Ryzen 5 Hexa Core Processor,39.62,Windows,8,DDR4 ,0,512,59990.0
Lenovo,4.2,AMD Ryzen 5 Quad Core Processor,39.62,Windows,8,DDR4 ,0,512,38705.0
ASUS,4.3,Intel Core i3 Processor,39.62,Windows,8,DDR4 ,0,256,32990.0
ASUS,4.4,AMD Ryzen 5 Hexa Core Processor,43.94,Windows,8,DDR4 ,0,512,52990.0
acer,4.3,Intel Core i3 Processor,39.62,Windows,8,DDR4 ,0,256,29990.0
ASUS,4.3,AMD Ryzen 9 Octa Core Processor,39.62,Windows,16,DDR5 ,0,1000,196990.0
ASUS,4.3,Intel Core i5 Processor,39.62,Windows,8,DDR4 ,1000,256,47990.0
ASUS,4.3,Intel Core i5 Processor,39.62,Windows,8,DDR4 ,0,512,45990.0
MSI,4.4,AMD Ryzen 5 Hexa Core Processor,39.62,Windows,8,DDR4 ,0,512,47990.0
ASUS,4.6,AMD Ryzen 7 Octa Core Processor,39.62,Windows,16,DDR4 ,0,1000,85990.0
APPLE,4.7,Apple M1 Processor,33.78,Mac,8,DDR4 ,0,256,88990.0
HP,4.2,Intel Core i3 Processor,35.56,Windows,8,DDR4 ,0,512,40990.0
Lenovo,4.2,AMD Ryzen 3 Dual Core Processor,39.62,Windows,8,DDR4 ,0,512,35590.0
HP,4.3,Intel Core i5 Processor,39.62,Windows,8,DDR4 ,0,512,65990.0
RedmiBook,4.1,Intel Core i5 Processor,39.62,Windows,8,DDR4 ,0,512,39990.0
Lenovo,4.2,Intel Core i3 Processor,39.62,Windows,8,DDR4 ,0,512,39990.0
ASUS,4.3,AMD Ryzen 9 Octa Core Processor,39.62,Windows,16,DDR5 ,0,1000,196990.0
acer,4.3,Intel Core i5 Processor,39.62,Windows,16,DDR4 ,0,512,58990.0
realme,4.4,Intel Core i3 Processor,35.56,Windows,8,DDR4 ,0,256,46990.0
Lenovo,4.2,AMD Ryzen 5 Quad Core Processor,39.62,Windows,8,DDR4 ,0,512,38705.0
ASUS,4.6,AMD Ryzen 7 Octa Core Processor,39.62,Windows,16,DDR4 ,0,1000,85990.0
acer,4.2,AMD Ryzen 3 Dual Core Processor,39.62,Windows,8,DDR4 ,0,256,24990.0
acer,4.4,AMD Ryzen 5 Hexa Core Processor,39.62,Windows,8,DDR4 ,0,512,47990.0
ASUS,4.4,AMD Ryzen 7 Octa Core Processor,43.94,Windows,8,DDR4 ,0,512,73990.0
Lenovo,4.2,Intel Core i5 Processor,39.62,Windows,8,DDR4 ,0,512,53490.0
Lenovo,4.2,AMD Ryzen 3 Dual Core Processor,39.62,Windows,8,DDR4 ,0,512,35590.0
ASUS,4.9,AMD Ryzen 9 Octa Core Processor,39.62,Windows,16,DDR4 ,0,1000,150990.0
Lenovo,4.3,Intel Core i5 Processor,39.62,Windows,8,DDR4 ,0,512,51990.0
ASUS,4.7,Intel Core i5 Processor,35.56,Windows,16,DDR4 ,0,512,66990.0
Lenovo,4.2,Intel Core i3 Processor,35.56,Windows,8,DDR4 ,0,256,36990.0
ASUS,4.3,AMD Ryzen 9 Octa Core Processor,39.62,Windows,16,DDR5 ,0,1000,194990.0
